ADDRESS,CITY,EC_NAME,the_geom,STATE,Zip,BOROCODE,ACCESSIBLE,BIN,BBL
18 Marlborough Road,Brooklyn,PS 249,POINT (-73.96648921670807 40.649708582993064),NY,11226,3,N,3116438,3050750001
1827 Archer Street,Bronx,PS 102,POINT (-73.86622748089125 40.838205858215275),NY,10460,2,N,2028640,2039210030
901 Classon Avenue,Brooklyn,Clara Barton HS,POINT (-73.96139358097575 40.6688589933076),NY,11225,3,N,3029702,3011880001
549 Audobon Avenue,New York,George Washington Educational Campus,POINT (-73.92619138163855 40.85559869189675),NY,10040,1,N,1076751,1021600018
29 Ft Greene Place,Brooklyn,Brooklyn Tech HS,POINT (-73.97644081210666 40.688955817188834),NY,11217,3,Y,3058752,3020980013
660 W 237 Street,Bronx,MS - HS 141,POINT (-73.91417582805788 40.88805858303743),NY,10463,2,N,2085870,2059180376
111 Bristol Street,Brooklyn,PS 327,POINT (-73.9117213739499 40.66795481413876),NY,11212,3,N,3081032,3035200008
154 W 93 Street,New York,IS 118,POINT (-73.97097165235431 40.791461599835635),NY,10025,1,Y,1032522,1012230005
427 38 Street,Brooklyn,PS 24,POINT (-74.00453928492661 40.65280553248585),NY,11232,3,Y,3346119,3007010001
237 7th Avenue,Brooklyn,John Jay Educational Campus,POINT (-73.97869546474965 40.66930777410636),NY,11215,3,N,3025510,3010820001
730 Bryant Avenue,Bronx,IS 201,POINT (-73.8853081324496 40.81586895931827),NY,10474,2,N,2006566,2027630279
21 Jumel Place,New York,IS 90,POINT (-73.9357073749906 40.83935802569437),NY,10023,1,Y,1076741,1021120058
1919 Prospect Avenue,Bronx,PS 211,POINT (-73.89046989887038 40.84375984151174),NY,10457,2,N,2094582,2029510032
1300 Greene Avenue,Brooklyn,IS 383,POINT (-73.91928775501131 40.697693632530274),NY,11237,3,N,3075413,3032980001
425 W 123 Street,New York,PS 125,POINT (-73.95609685370634 40.81078944886271),NY,10027,1,Y,1059526,1019640012
122 Amsterdam Avenue,New York,Martin Luther King Jr. HS,POINT (-73.98563038662456 40.774899959763246),NY,10023,1,N,1030343,1011570025
233 E 56 Street,New York,Midtown East Campus (PS 59),POINT (-73.9663563303682 40.75929963022644),NY,10022,1,Y,1038593,1013300015
100 Hester Street,New York,IS 131,POINT (-73.99360201070182 40.71623837083559),NY,10002,1,N,1082489,1003010003
222 W 134 Street,New York,PS 92,POINT (-73.94581431348983 40.8147115976589),NY,10030,1,N,1058808,1019390011
501-503 W 152 Street,New York,PS - IS 210,POINT (-73.9446461562353 40.82999707805981),NY,10031,1,N,1087824,1020840129
142-30 Barclay Avenue,Flushing,PS 20,POINT (-73.82402972837741 40.758453450203675),NY,11355,4,N,4114657,4050470001
72-24 Grand Avenue,Maspeth,PS 58,POINT (-73.89006273089697 40.728696727390556),NY,11378,4,Y,4062851,4028020001
61-15 Oceania Street,Bayside,IS 74,POINT (-73.76682865353507 40.745078241808976),NY,11362,4,N,4163953,4077230001
35-12 35Th Avenue,Long Island City,Frank Sinatra HS,POINT (-73.92516451426961 40.75612679344865),NY,11101,4,N,4009594,4006390016
2225 Webster Avenue,Bronx,IS 391,POINT (-73.89722928081869 40.854433752750495),NY,10457,2,Y,2013307,2031430043
